id,name,legal_name,website,category,org_nr,office_in_norway,office_cities,security_staff,security_staff_basis,security_staff_is_minimum,security_staff_scope,security_staff_source,security_staff_note,employees_total,employees_source,employees_note,employees_as_of,brreg_employees,brreg_employees_as_of,delivery,delivery_source,delivery_note,specialty,capabilities,certifications,founded,former_names,notes,verification,last_verified,verified_by,sources
ivolv,Ivolv,IVOLV AS,https://ivolv.no,norwegian,927371022,true,Stavanger,24,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,24,2026-09-14,in-house,https://ivolv.no,,Rogaland IT and cyber security house: managed security services and advisory.,soc; incident-response; cloud-security; network-security; compliance; penetration-testing,,2021-06-14,,,verified,2026-09-22,@whatsdd,"https://ivolv.no (company-site, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/927371022 (registry, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
triple-s,Triple-S,TRIPLE-S AS,https://www.triple-s.no,norwegian,958971184,true,Oslo,23,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,23,2026-05-12,in-house,https://www.triple-s.no,,Small specialist house for industrial control system and OT security.,ot-ics-security; network-security; risk-management; security-architecture; vulnerability-assessment,,1990-11-02,TRIPLE-S AS INDUSTRY AUTOMATION; TRIPLE-S AS; GOODTECH PRODUCTS AS,,verified,2026-09-22,@whatsdd,"https://www.triple-s.no (company-site, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/958971184 (registry, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
agenda-risk,Agenda Risk,AGENDA RISK AS,https://www.agendarisk.no,norwegian,925206636,true,Oslo,18,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,18,2026-09-14,in-house,https://www.agendarisk.no,Delivery model recorded from the company's own description of how it staffs the work.,"Risk and security advisory: management systems, audits, forensics and compliance.",risk-management; compliance; security-audit; digital-forensics; privacy-gdpr; nis2-dora; vciso,,2020-06-05,THAYSEN CONSULTING AS,Registry history: THAYSEN CONSULTING AS -> AGENDA RISK AS.,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/925206636 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.agendarisk.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
river-security,River Security,RIVER SECURITY AS,https://riversecurity.eu,norwegian,925178810,true,Oslo,17,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,17,2026-07-15,in-house,https://riversecurity.eu,Delivery model recorded from the company's own description of how it staffs the work.,"Offensive security boutique: penetration testing, red teaming and OT testing for industry.",penetration-testing; red-teaming; ot-ics-security; application-security; vulnerability-assessment; security-architecture,ISO 27001,2020-06-05,,"The in-house security staff figure is an estimate by the list author and is not published on the company site; the registry headcount for the Norwegian entity is 17, and the entity does security work only.",verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/925178810 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://riversecurity.eu (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
norma-cyber,NORMA Cyber,NORDIC MARITIME CYBER RESILIENCE CENTRE AS,https://www.normacyber.no,norwegian,925216739,true,Oslo,15,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,15,2026-08-11,in-house,https://www.normacyber.no,Delivery model recorded from the company's own description of how it staffs the work.,Maritime cyber resilience centre for the Norwegian shipping industry.,soc; incident-response; threat-intelligence; penetration-testing; tabletop-exercises; security-training; ot-ics-security; compliance,,2020-06-10,ATHOMSTART INVEST 495 AS; NORWEGIAN MARITIME CYBER RESILIENCE CENTRE AS,Trading as NORMA Cyber; the registry entity is NORDIC MARITIME CYBER RESILIENCE CENTRE AS (formerly NORWEGIAN MARITIME CYBER RESILIENCE CENTRE AS).,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/925216739 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.normacyber.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
semaphore,Semaphore,SEMAPHORE CONSULTING PARTNERS AS,https://www.semaphore.no,norwegian,989925970,true,Stabekk,14,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",20,https://www.semaphore.no,stated as just under 20 employees,2026-09-22,14,2026-08-11,in-house,https://www.semaphore.no,Delivery model recorded from the company's own description of how it staffs the work.,"Boutique testing house: penetration testing, red teaming and security assessments.",penetration-testing; red-teaming; vulnerability-assessment; security-audit; social-engineering; security-training,ISO/IEC 27001,2006-05-05,SCIO AS,"Registry entity SEMAPHORE CONSULTING PARTNERS AS, Stabekk, whose former name was SCIO AS. A separate SEMAPHORE AS (org.nr 924505214, Oslo) also exists. Which one delivers the security testing in the list should be confirmed.",partial,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/989925970 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.semaphore.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
secure-practice,Secure Practice,SECURE PRACTICE AS,https://securepractice.no,norwegian,919420197,true,Trondheim,14,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,14,2026-08-11,in-house,https://securepractice.no,Delivery model recorded from the company's own description of how it staffs the work.,"Human risk and security culture: phishing simulation, awareness training and measuring.",awareness-training; security-training; risk-management; threat-intelligence; compliance,,2017-08-01,,,verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/919420197 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://securepractice.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
bsure,Bsure,BSURE AS,https://www.bsure.io/,norwegian,929419766,true,Asker,13,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"In-house security staff: 13 or more. Guarded estimate by the list maintainer, not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work.",,,,,13,2026-05-11,in-house,https://www.bsure.io/about-us,"The company builds and operates its own platform from Norway and defines its delivery as the platform itself, run read-only inside the customer's own subscription.","Identity visibility for Microsoft Entra ID and Microsoft 365: every identity, what it can reach, and who is answerable for it.",identity-access-management; compliance,,2022-05-03,,"A Norwegian platform company rather than a consultancy: the delivery is software the customer runs, not consultants on site, and it is listed because identity visibility is the whole product rather than a feature of something else. Its own team builds, sells and supports it, and the entity is a security-only business, which is what makes the guarded estimate applicable.",verified,2026-09-22,@whatsdd,"https://www.bsure.io/ (company-site, 2026-09-22); https://www.bsure.io/about-us (company-site, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/929419766 (registry, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
fencenordic,Fencenordic,FENCE AS,https://fence.no,norwegian,934279220,true,Oslo,11,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"Guarded estimate by the list maintainer (@whatsdd) and not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work. It is the entity's headcount rather than a measured split, which is why it is an estimate and a floor.",,,,,11,2026-07-15,in-house,https://fence.no,Delivery model recorded from the company's own description of how it staffs the work.,"Norwegian MDR provider: 24/7 monitoring, incident response and managed detection.",soc; incident-response; penetration-testing; red-teaming; vulnerability-management; threat-intelligence; endpoint-security; security-training,NSM-approved incident response team,2024-09-23,FENCE DRIFT AS,"Listed as ""Fencenordic""; the company now operates as Fence and this entity is the Norwegian legal entity (formerly FENCE DRIFT AS).",verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/934279220 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://fence.no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
o3c,O3C,O3 CYBER AS,https://www.o3c.no/,norwegian,929553160,true,Oslo,11,estimate,true,whole-company,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"In-house security staff: 11 or more. Guarded estimate by the list maintainer, not published by the company: the headcount this entity filed with Enhetsregisteret, which is a security-only business, so the whole payroll is security work.",,,,,11,2026-09-14,in-house,https://www.o3c.no/,"A boutique consultancy that describes advising, assessing and operating alongside its clients, which means its own consultants do the work.","Boutique consultancy for cloud, platform and AI security, working with Nordic enterprises and scale-ups.",cloud-security; container-security; security-architecture; ai-security; application-security; secure-development; security-audit; security-training,,2022-06-30,,O3 CYBER AS is the operating company; O3C TOPCO AS (org.nr 938170894) is the holding entity.,verified,2026-09-22,@whatsdd,"https://www.o3c.no/ (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22); https://data.brreg.no/enhetsregisteret/api/enheter/929553160 (registry, 2026-09-22)"
ey-norge,EY Norge,ERNST & YOUNG AS,https://www.ey.com/no_no,norwegian,976389387,true,Oslo,10,estimate,true,,https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates,"In-house security staff: 10 or more. Estimated by the list maintainer, not published by the company.",,,,,1422,2026-09-14,in-house,https://www.ey.com/no_no,Delivery model recorded from the company's own description of how it staffs the work.,"Audit and advisory giant whose Norwegian cyber team covers testing, resilience and compliance.",penetration-testing; vulnerability-assessment; security-audit; compliance; risk-management; incident-response; cloud-security,,1996-03-28,ERNST & YOUNG MANAGEMENT CONSULTING AS,"The in-house security staff figure is an estimate by the list author and is not published on the company site. EY is a large multi-service firm, so this figure is a fraction of its Norwegian headcount.",verified,2026-09-22,@whatsdd,"https://data.brreg.no/enhetsregisteret/api/enheter/976389387 (registry, 2026-09-22); https://ahmad.science/2025/05/06/50-selskaper-som-tilbyr-sikkerhetstesting-pentest-i-norge-2025-utgaven/ (seed-list, 2026-09-22); https://ahmad.science/2023/02/24/33-pentest-firma-i-norge-sikkerhetstesting-inntrengingstesting/ (seed-list, 2026-09-22); https://www.ey.com/no_no (company-site, 2026-09-22); https://github.com/whatsdd/Cybersecurity-companies-Norway/blob/main/docs/methodology.md#guarded-estimates (estimate, 2026-09-22)"
